도로(가로)명,주소,세부위치,수거 쓰레기 종류,형태,수거 담당자
왕십리로,서울특별시 성동구 왕십리로 232,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
청계천로10가길,서울특별시 성동구 청계천로10가길 102,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
청계천로,서울특별시 성동구 청계천로 546,도로(가로)변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
금호로,서울특별시 성동구 금호로 141-1,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
금호로,서울특별시 성동구 금호로 168, 도로(가로)변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
행당로,서울특별시 성동구 행당로 15,금호1가동주민센터 주변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
금호로,서울특별시 성동구 금호로 60-1,도로(가로)변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 341-1,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
마조로,서울특별시 성동구 15나길 19,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
무학로,서울특별시 성동구 10,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
무학로,서울특별시 성동구 44,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 왕십리로 410,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
마장로,서울특별시 성동구 마장로 137,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 왕십리로 327,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 고사자로 197,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
행당로,서울특별시 성동구 행당로 87,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
금호로,서울특별시 성동구 금호로 173,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
금호로 ,서울특별시 성동구 금호로 105,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 독서당로 299-2,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 독서당로 207,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 독서당로 222,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 독서당로 216,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
금호로,서울특별시 성동구 금호로 40,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
살곶이길 ,서울특별시 성동구 살곶이길 352,횡단보도,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
마장로,서울특별시 성동구 마장로 310,횡단보도,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
마장동 ,서울특별시 성동구 마장로 810,전철역,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
천호대로,서울특별시 성동구 천호대로 312,횡단보도,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
용답동,서울특별시 성동구 용답동 232-6,전철역,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 광나루로 337,횡단보도,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
동일로,서울특별시 성동구 동일로 223,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
뚝섬로,서울특별시 성동구 뚝섬로 397,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 광나루로 243,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
뚝섬로,서울특별시 성동구 뚝섬로 452,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
아차산로,서울특별시 성동구 아차산로 120,전철역,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 광나루로 328,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 광나루로 297,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 광나루로 319,횡단보도,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 광나루로 190,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 광나루로 142-1,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 광나루로 184,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
살곶이 ,서울특별시 성동구 살곶이 8길 22,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 광나루로 297,버스정류장,"담배꽁초, 음료컵",원형 쓰레기통,가로환경미화원
