No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
94,서울특별시 용산구 한강로동 베르가모(농협앞) 버스정류장(03-122),128.5156937,35.89727927,인근좌표,서울특별시 용산구 한강로동 베르가모(농협앞) 버스정류장(03-122),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
95,서울특별시 용산구 베르가모앞 택시정류장,126.9804724,37.53114116,인근좌표,서울특별시 용산구 베르가모앞 택시정류장,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
96,서울특별시 용산구 용산역앞 횡단보도 건너편,126.9804724,37.53114116,인근좌표,서울특별시 용산구 용산역앞 횡단보도 건너편,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
97,서울특별시 용산구 신용산지하차도입구 파리바게트 횡단보도앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 신용산지하차도입구 파리바게트 횡단보도앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
98,서울특별시 용산구 용사의집앞 횡단보도(가로판매점앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 용사의집앞 횡단보도(가로판매점앞),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
99,서울특별시 용산구 한남역 용산노인종합복지관(한남동 하이페리온방면) 버스정류장(03-285),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한남역용산노인종합복지관(한남동 하이페리온방면) 버스정류장(03-285),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
100,서울특별시 용산구 순천향 병원 택시정류장,126.9804724,37.53114116,인근좌표,서울특별시 용산구 순천향 병원 택시정류장,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
101,서울특별시 용산구 원효로 2동 주민센터 버스정류장(03-304),126.94526,37.53471374,인근좌표,서울특별시 용산구 원효로 2동 주민센터 버스정류장(03-304),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
102,서울특별시 용산구 보광동 신동아아파트(기업은행보광동지점방면) 버스정류장(03-277),127.0005741,37.52688166,인근좌표,서울특별시 용산구 보광동 신동아아파트(기업은행보광동지점방면) 버스정류장(03-277),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
103,서울특별시 용산구 하얏트호텔 정문앞 마을버스정류장(용산03),126.9804724,37.53114116,인근좌표,서울특별시 용산구 하얏트호텔 정문앞 마을버스정류장(용산03),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
104,서울특별시 용산구 한남동 동원베네스트 사잇길 옆 쉼터,127.0063494,37.53746041,인근좌표,서울특별시 용산구 한남동 동원베네스트 사잇길 옆 쉼터,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
105,서울특별시 용산구 한남동(한남시범아파트방면) 버스정류장(03-213)(현대리버티하우스 KEB하나은행앞),127.0063494,37.53746041,인근좌표,서울특별시 용산구 한남동(한남시범아파트방면) 버스정류장(03-213)(현대리버티하우스KEB하나은행앞),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
106,서울특별시 용산구 보금사에서 스시바얼이태원점앞(녹사평산악회앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 보금사에서 스시바얼이태원점앞(녹사평산악회앞),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
107,서울특별시 용산구 금호타이어한남대리점(시드니씨푸드)앞(경리단입구3호터널방향),128.4223574,35.6663724,인근좌표,서울특별시 용산구 금호타이어한남대리점(시드니씨푸드)앞(경리단입구3호터널방향),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
108,서울특별시 용산구 한강진역 1번출구앞 (용산국제학교입구),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한강진역 1번출구앞 (용산국제학교입구),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
109,서울특별시 용산구 소월로168번지(고엽제사무실옆),126.9842371,37.54795891,정좌표,서울특별시 용산구 소월로168번지(고엽제사무실옆),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
110,서울특별시 용산구 한국폴리텍1대학 버스정류장(03-281),126.9804724,37.53114116,인근좌표,서울특별시 용산구 한국폴리텍1대학 버스정류장(03-281),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
111,서울특별시 용산구 도이치모터스(BMW) 매장앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 도이치모터스(BMW) 매장앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
112,서울특별시 용산구 녹사평역 1번출구앞 버스정류장(03-524),126.9804724,37.53114116,인근좌표,서울특별시 용산구 녹사평역 1번출구앞 버스정류장(03-524),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
113,서울특별시 용산구 순천향 병원 진출로 옆 인도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 순천향 병원 진출로 옆 인도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
114,서울특별시 용산구 순천향 병원 진입로 옆 인도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 순천향 병원 진입로 옆 인도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
115,서울특별시 용산구 이촌2동부영주유소 건너편 버스정류장(03-288),126.9664108,37.51877521,인근좌표,서울특별시 용산구 이촌2동부영주유소 건너편 버스정류장(03-288),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
116,서울특별시 용산구 이촌1동 충신교회앞 버스정류장(03-216) ,126.9664108,37.51877521,인근좌표,서울특별시 용산구 이촌1동 충신교회앞 버스정류장(03-216) ,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
117,서울특별시 용산구 콩나물국밥 시루향기 24시 횡단보도앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 콩나물국밥 시루향기 24시 횡단보도앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
118,서울특별시 용산구 청파로 250(남영역03-230버스정류장옆)앞 횡단보도,126.9709845,37.54199535,정좌표,서울특별시 용산구 청파로 250(남영역03-230버스정류장옆)앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
119,서울특별시 용산구 소월로168번지(대한민국고엽제전우회앞),126.9842371,37.54795891,정좌표,서울특별시 용산구 소월로168번지(대한민국고엽제전우회앞),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
120,서울특별시 용산구 하얏트호텔 정문앞 마을버스정류장(용산03),126.9804724,37.53114116,인근좌표,서울특별시 용산구 하얏트호텔 정문앞 마을버스정류장(용산03),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
121,서울특별시 용산구 녹사평역 3번 출구 앞( 직진2~3미터횡단보도앞 ),126.9804724,37.53114116,인근좌표,서울특별시 용산구 녹사평역 3번 출구 앞( 직진2~3미터횡단보도앞 ),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
