No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
82,서울특별시 영등포구 신길로 89,126.9087621,37.50070334,정좌표,서울특별시 영등포구 신길로 89 남서울ⓐ 버스정류장(19-249),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
83,서울특별시 영등포구 도신로 100 ,126.903934,37.50703812,정좌표,서울특별시 영등포구 도신로 100  우성ⓐ 5차 입구,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
84,서울특별시 영등포구 가마산로 496,126.9114018,37.50554669,정좌표,서울특별시 영등포구 가마산로 496 신풍시장 버스정류장(19-878),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
85,서울특별시 영등포구 신길로 142-1,126.9102859,37.505016,인근좌표,서울특별시 영등포구 신길로 142-1 사러가 쇼핑센터 버스정류장 (19-239),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
86,서울특별시 영등포구 신길로 156,126.9114102,37.50592981,정좌표,서울특별시 영등포구 신길로 156 사러가 사거리 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,,
87,서울특별시 영등포구 신길로 155,126.9109052,37.50602193,인근좌표,서울특별시 영등포구 신길로 155 사러가 사거리 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,,
88,서울특별시 영등포구 영등포로 422,126.9248089,37.512392,정좌표,서울특별시 영등포구 영등포로 422 대방역 버스중앙차로(19-015),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
89,서울특별시 영등포구 도신로 228,126.916496,37.51173037,정좌표,서울특별시 영등포구 도신로 228 대신시장 버스정류장(19-228),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
90,서울특별시 영등포구 도신로 228,126.916496,37.51173037,정좌표,서울특별시 영등포구 도신로 228 대신시장 버스정류장(19-228),"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
91,서울특별시 영등포구 영등포로 398,126.9221979,37.51313864,정좌표,서울특별시 영등포구 영등포로 398 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,,
92,서울특별시 영등포구 영등포로 398,126.9221979,37.51313864,정좌표,서울특별시 영등포구 영등포로 398 횡단보도,⑥ 횡단보도 입구,② 재활용쓰레기,,
93,서울특별시 영등포구 여의대방로 ,126.9222548,37.5057029,인근좌표,서울특별시 영등포구 여의대방로  공군회관 앞 정류장(19-255),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
94,서울특별시 영등포구 여의대방로 ,126.9222548,37.5057029,인근좌표,서울특별시 영등포구 여의대방로  공군회관 앞 정류장(19-255),"① 정류장(버스, 택시 등)",② 재활용쓰레기,,
