No(line_no),주소(address),경도(longitute),위도(latitude),좌표값(status),설치장소상세(address_detail),설치장소타입(address_type),쓰레기통 형태(trash_type),관할기관(gov),관할기관연락처(gov_num)
101,서울특별시 도봉구 도봉로 북서울중학교,127.0457579,37.68964167,인근좌표,서울특별시 도봉구 도봉로 북서울중학교,기타(학교앞),"일반,재활용쓰레기수거용",서울시 도봉구청,
102,서울특별시 도봉구 마들로 서울누원초등학교,127.0532968,37.64263023,인근좌표,서울특별시 도봉구 마들로 서울누원초등학교,기타(학교앞),"일반,재활용쓰레기수거용",서울시 도봉구청,
103,서울특별시 도봉구 마들로 서울누원초등학교,127.0532968,37.64263023,인근좌표,서울특별시 도봉구 마들로 서울누원초등학교,기타(학교앞),"일반,재활용쓰레기수거용",서울시 도봉구청,
104,서울특별시 도봉구 도봉로 신한은행 앞,127.0457579,37.68964167,인근좌표,서울특별시 도봉구 도봉로 신한은행 앞,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
105,서울특별시 도봉구 도봉로 칠성사이다 앞,127.0457579,37.68964167,인근좌표,서울특별시 도봉구 도봉로 칠성사이다 앞,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
106,서울특별시 도봉구 도봉로 칠성사이다 앞,127.0457579,37.68964167,인근좌표,서울특별시 도봉구 도봉로 칠성사이다 앞,"정류장(버스,택시 등)",재활용 수거용,서울시 도봉구청,
107,서울특별시 도봉구 도봉로 보건소 입구,127.0457579,37.68964167,인근좌표,서울특별시 도봉구 도봉로 보건소 입구,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
108,서울특별시 도봉구 방학로 화로구이집 건너편,127.0244123,37.66191539,인근좌표,서울특별시 도봉구 방학로 화로구이집 건너편,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
109,서울특별시 도봉구 도봉로 도봉병원 앞,127.0457579,37.68964167,인근좌표,서울특별시 도봉구 도봉로 도봉병원 앞,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
110,서울특별시 도봉구 삼양로 덕성여대입구 버스정류장,127.013832,37.65435525,인근좌표,서울특별시 도봉구 삼양로 덕성여대입구 버스정류장,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
111,서울특별시 도봉구 삼양로 파리바게트 앞,127.013832,37.65435525,인근좌표,서울특별시 도봉구 삼양로 파리바게트 앞,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
112,서울특별시 도봉구 해등로 청한빌라 앞,127.0345798,37.65855955,인근좌표,서울특별시 도봉구 해등로 청한빌라 앞,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
113,서울특별시 도봉구 해등로 우성1차 APT ,127.0434788,37.64492501,인근좌표,서울특별시 도봉구 해등로 우성1차 APT ,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
114,서울특별시 도봉구 해등로 우성2차 APT ,127.0434788,37.64492501,인근좌표,서울특별시 도봉구 해등로 우성2차 APT ,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
115,서울특별시 도봉구 해등로 삼익 103동 APT 앞,127.0407519,37.65275371,정좌표,서울특별시 도봉구 해등로 삼익 103동 APT 앞,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
116,서울특별시 도봉구 해등로 삼익 109동 APT 앞,127.040817,37.65333424,정좌표,서울특별시 도봉구 해등로 삼익 109동 APT 앞,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
117,서울특별시 도봉구 노해로 숭미파출소 맞은편,127.0346125,37.65139646,인근좌표,서울특별시 도봉구 노해로 숭미파출소 맞은편,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
118,서울특별시 도봉구 해등로 선덕고등학교 앞,127.0345798,37.65855955,인근좌표,서울특별시 도봉구 해등로 선덕고등학교 앞,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
119,서울특별시 도봉구 해등로 주공1단지,127.0434788,37.64492501,인근좌표,서울특별시 도봉구 해등로 주공1단지,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
120,서울특별시 도봉구 노해로 염광APT,127.0346125,37.65139646,인근좌표,서울특별시 도봉구 노해로 염광APT,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
121,서울특별시 도봉구 노해로 쌍문3동 어린이집,127.0252528,37.64706802,인근좌표,서울특별시 도봉구 노해로 쌍문3동 어린이집,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
122,서울특별시 도봉구 노해로 숭미초교 앞,127.0346125,37.65139646,인근좌표,서울특별시 도봉구 노해로 숭미초교 앞,"정류장(버스,택시 등)",일반쓰레기수거용,서울시 도봉구청,
1,서울특별시 동대문구 경희대로 2,127.0525643,37.59181889,정좌표,서울특별시 동대문구 경희대로 2,,일반쓰레기,서울시 동대문구청,02-2127-4729
2,서울특별시 동대문구 고미술로 11,127.0504269,37.57005567,정좌표,서울특별시 동대문구 고미술로 11,,일반쓰레기,서울시 동대문구청,02-2127-4729
3,서울특별시 동대문구 고산자로 53,127.0376882,37.57336958,인근좌표,서울특별시 동대문구 고산자로 53,,일반쓰레기,서울시 동대문구청,02-2127-4729
4,서울특별시 동대문구 고산자로 517,127.0382671,37.58587353,정좌표,서울특별시 동대문구 고산자로 517,,일반쓰레기,서울시 동대문구청,02-2127-4729
5,서울특별시 동대문구 답십리로 55,127.0473926,37.57640651,정좌표,서울특별시 동대문구 답십리로 55,,일반쓰레기,서울시 동대문구청,02-2127-4729
6,서울특별시 동대문구 답십리로 150,127.0565275,37.57247525,정좌표,서울특별시 동대문구 답십리로 150,,일반쓰레기,서울시 동대문구청,02-2127-4729
7,서울특별시 동대문구 답십리로 224-1,127.0652884,37.57258445,정좌표,서울특별시 동대문구 답십리로 224-1,,일반쓰레기,서울시 동대문구청,02-2127-4729
8,서울특별시 동대문구 답십리로 268,127.0701562,37.57225409,정좌표,서울특별시 동대문구 답십리로 268,,일반쓰레기,서울시 동대문구청,02-2127-4729
9,서울특별시 동대문구 망우로 105,127.0651003,37.59153008,정좌표,서울특별시 동대문구 망우로 105,,일반쓰레기,서울시 동대문구청,02-2127-4729
10,서울특별시 동대문구 망우로 14,127.0551222,37.5876418,정좌표,서울특별시 동대문구 망우로 14,,일반쓰레기,서울시 동대문구청,02-2127-4729
11,서울특별시 동대문구 무학로 189,127.0295691,37.5812672,정좌표,서울특별시 동대문구 무학로 189,,일반쓰레기,서울시 동대문구청,02-2127-4729
12,서울특별시 동대문구 사가정로 31-1,127.0508384,37.57236244,정좌표,서울특별시 동대문구 사가정로 31-1,,일반쓰레기,서울시 동대문구청,02-2127-4729
13,서울특별시 동대문구 동대문중학교 앞,126.9098456,35.14683718,인근좌표,서울특별시 동대문구 동대문중학교 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
14,서울특별시 동대문구 사가정로 91,127.0554243,37.57624541,정좌표,서울특별시 동대문구 사가정로 91,,일반쓰레기,서울시 동대문구청,02-2127-4729
15,서울특별시 동대문구 사가정로 6,127.0495147,37.57015927,정좌표,서울특별시 동대문구 사가정로 6,,일반쓰레기,서울시 동대문구청,02-2127-4729
16,서울특별시 동대문구 사가정로 230,127.0703697,37.57858233,정좌표,서울특별시 동대문구 사가정로 230,,일반쓰레기,서울시 동대문구청,02-2127-4729
17,서울특별시 동대문구 서울시립대로 26,127.0460466,37.57391696,정좌표,서울특별시 동대문구 서울시립대로 26,,일반쓰레기,서울시 동대문구청,02-2127-4729
18,서울특별시 동대문구 서울시립대로 147,127.0531423,37.58323693,정좌표,서울특별시 동대문구 서울시립대로 147,,일반쓰레기,서울시 동대문구청,02-2127-4729
19,서울특별시 동대문구 신성 미소지움아파트 앞,129.2698458,35.75653301,인근좌표,서울특별시 동대문구 신성 미소지움아파트 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
20,서울특별시 동대문구 서울시립대로 44,127.0470989,37.57522011,정좌표,서울특별시 동대문구 서울시립대로 44,,일반쓰레기,서울시 동대문구청,02-2127-4729
21,서울특별시 동대문구 이문초등학교 앞,129.2698458,35.75653301,인근좌표,서울특별시 동대문구 이문초등학교 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
22,서울특별시 동대문구 약령시로 126,127.0439983,37.58296085,정좌표,서울특별시 동대문구 약령시로 126,,일반쓰레기,서울시 동대문구청,02-2127-4729
23,서울특별시 동대문구 왕산로 33,127.0270999,37.57704354,정좌표,서울특별시 동대문구 왕산로 33,,일반쓰레기,서울시 동대문구청,02-2127-4729
24,서울특별시 동대문구 왕산로 60-1,127.0301462,37.5772832,정좌표,서울특별시 동대문구 왕산로 60-1,,일반쓰레기,서울시 동대문구청,02-2127-4729
25,서울특별시 동대문구 왕산로 28,127.026811,37.57638548,정좌표,서울특별시 동대문구 왕산로 28,,일반쓰레기,서울시 동대문구청,02-2127-4729
26,서울특별시 동대문구 왕산로 68,127.0308988,37.57748449,정좌표,서울특별시 동대문구 왕산로 68,,일반쓰레기,서울시 동대문구청,02-2127-4729
27,서울특별시 동대문구 제기역 1번출구,129.2756801,35.77242013,인근좌표,서울특별시 동대문구 제기역 1번출구,,일반쓰레기,서울시 동대문구청,02-2127-4729
28,서울특별시 동대문구 왕산로 195,127.0446371,37.58023899,정좌표,서울특별시 동대문구 왕산로 195,,일반쓰레기,서울시 동대문구청,02-2127-4729
29,서울특별시 동대문구 왕산로 226,127.0476393,37.58171189,정좌표,서울특별시 동대문구 왕산로 226,,일반쓰레기,서울시 동대문구청,02-2127-4729
30,서울특별시 동대문구 왕산로 312,127.0536877,37.58769047,정좌표,서울특별시 동대문구 왕산로 312,,일반쓰레기,서울시 동대문구청,02-2127-4729
31,서울특별시 동대문구 06-257(버스정거장),129.2743568,35.77210558,인근좌표,서울특별시 동대문구 06-257(버스정거장),,일반쓰레기,서울시 동대문구청,02-2127-4729
32,서울특별시 동대문구 이문로 17,127.054953,37.58967713,정좌표,서울특별시 동대문구 이문로 17,,일반쓰레기,서울시 동대문구청,02-2127-4729
33,서울특별시 동대문구 이문로 12,127.0548777,37.58875855,정좌표,서울특별시 동대문구 이문로 12,,일반쓰레기,서울시 동대문구청,02-2127-4729
34,서울특별시 동대문구 이문로 100,127.0599644,37.59570113,정좌표,서울특별시 동대문구 이문로 100,,일반쓰레기,서울시 동대문구청,02-2127-4729
35,서울특별시 동대문구 이문삼거리,126.4241385,37.75467623,인근좌표,서울특별시 동대문구 이문삼거리,,일반쓰레기,서울시 동대문구청,02-2127-4729
36,서울특별시 동대문구 장안벚꽃로 279,127.0729238,37.58374848,정좌표,서울특별시 동대문구 장안벚꽃로 279,,일반쓰레기,서울시 동대문구청,02-2127-4729
37,서울특별시 동대문구 장한로 191,127.0715145,37.57669591,정좌표,서울특별시 동대문구 장한로 191,,일반쓰레기,서울시 동대문구청,02-2127-4729
38,서울특별시 동대문구 장한로 149-1,127.0714933,37.57384866,정좌표,서울특별시 동대문구 장한로 149-1,,일반쓰레기,서울시 동대문구청,02-2127-4729
39,서울특별시 동대문구 장한로 119,127.0702132,37.57145092,정좌표,서울특별시 동대문구 장한로 119,,일반쓰레기,서울시 동대문구청,02-2127-4729
40,서울특별시 동대문구 장한로 84,127.0694279,37.56820771,정좌표,서울특별시 동대문구 장한로 84,,일반쓰레기,서울시 동대문구청,02-2127-4729
41,서울특별시 동대문구 장한로 39,127.0665294,37.56483507,정좌표,서울특별시 동대문구 장한로 39,,일반쓰레기,서울시 동대문구청,02-2127-4729
42,서울특별시 동대문구 장한로 25,127.0657738,37.56382061,정좌표,서울특별시 동대문구 장한로 25,,일반쓰레기,서울시 동대문구청,02-2127-4729
43,서울특별시 동대문구 장한로 124,127.0715151,37.57140157,정좌표,서울특별시 동대문구 장한로 124,,일반쓰레기,서울시 동대문구청,02-2127-4729
44,서울특별시 동대문구 장한로 12길 62,127.0709388,37.56464386,정좌표,서울특별시 동대문구 장한로 12길 62,,일반쓰레기,서울시 동대문구청,02-2127-4729
45,서울특별시 동대문구 전농로 21,127.0562716,37.56693884,정좌표,서울특별시 동대문구 전농로 21,,일반쓰레기,서울시 동대문구청,02-2127-4729
46,서울특별시 동대문구 전농로 26,127.0569575,37.56715891,정좌표,서울특별시 동대문구 전농로 26,,일반쓰레기,서울시 동대문구청,02-2127-4729
47,서울특별시 동대문구 전농로 97-1,127.0572833,37.57368355,정좌표,서울특별시 동대문구 전농로 97-1,,일반쓰레기,서울시 동대문구청,02-2127-4729
48,서울특별시 동대문구 정릉천동로 103,127.0360244,37.58142678,인근좌표,서울특별시 동대문구 정릉천동로 103,,일반쓰레기,서울시 동대문구청,02-2127-4729
49,서울특별시 동대문구 고대앞사거리,129.0571699,35.58648813,인근좌표,서울특별시 동대문구 고대앞사거리,,일반쓰레기,서울시 동대문구청,02-2127-4729
50,서울특별시 동대문구 고대앞사거리 정류장 앞,129.0571699,35.58648813,인근좌표,서울특별시 동대문구 고대앞사거리 정류장 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
51,서울특별시 동대문구 제기로 155,127.0503889,37.58615251,정좌표,서울특별시 동대문구 제기로 155,,일반쓰레기,서울시 동대문구청,02-2127-4729
52,서울특별시 동대문구 홍파초등학교 앞,129.2698458,35.75653301,인근좌표,서울특별시 동대문구 홍파초등학교 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
53,서울특별시 동대문구 제기로 115,127.0460036,37.58705393,정좌표,서울특별시 동대문구 제기로 115,,일반쓰레기,서울시 동대문구청,02-2127-4729
54,서울특별시 동대문구 06-007(버스정거장),129.2743568,35.77210558,인근좌표,서울특별시 동대문구 06-007(버스정거장),,일반쓰레기,서울시 동대문구청,02-2127-4729
55,서울특별시 동대문구 천호대로 14길 2,127.0296944,37.57371892,정좌표,서울특별시 동대문구 천호대로 14길 2,,일반쓰레기,서울시 동대문구청,02-2127-4729
56,서울특별시 동대문구 용두동 39-7,127.0416852,37.57339223,인근좌표,서울특별시 동대문구 용두동 39-7,,일반쓰레기,서울시 동대문구청,02-2127-4729
57,서울특별시 동대문구 용두4교다리,129.276571,35.77142977,인근좌표,서울특별시 동대문구 용두4교다리,,일반쓰레기,서울시 동대문구청,02-2127-4729
58,서울특별시 동대문구 06-017(버스정류장),129.2743568,35.77210558,인근좌표,서울특별시 동대문구 06-017(버스정류장),,일반쓰레기,서울시 동대문구청,02-2127-4729
59,서울특별시 동대문구 천호대로 83길 98,127.0670205,37.56607514,정좌표,서울특별시 동대문구 천호대로 83길 98,,일반쓰레기,서울시 동대문구청,02-2127-4729
60,서울특별시 동대문구 용두동 255-53,127.0331407,37.57114227,정좌표,서울특별시 동대문구 용두동 255-53,,일반쓰레기,서울시 동대문구청,02-2127-4729
61,서울특별시 동대문구 06-302(버스정거장),129.2743568,35.77210558,인근좌표,서울특별시 동대문구 06-302(버스정거장),,일반쓰레기,서울시 동대문구청,02-2127-4729
62,서울특별시 동대문구 한천로 421-1,127.0675315,37.59825404,정좌표,서울특별시 동대문구 한천로 421-1,,일반쓰레기,서울시 동대문구청,02-2127-4729
63,서울특별시 동대문구 한천로 84-1,127.064054,37.5689508,정좌표,서울특별시 동대문구 한천로 84-1,,일반쓰레기,서울시 동대문구청,02-2127-4729
64,서울특별시 동대문구 한천로 62,127.0627563,37.56720414,정좌표,서울특별시 동대문구 한천로 62,,일반쓰레기,서울시 동대문구청,02-2127-4729
65,서울특별시 동대문구 한천로 49,127.0616199,37.56656556,정좌표,서울특별시 동대문구 한천로 49,,일반쓰레기,서울시 동대문구청,02-2127-4729
66,서울특별시 동대문구 한천로 138,127.0664925,37.5735353,인근좌표,서울특별시 동대문구 한천로 138,,일반쓰레기,서울시 동대문구청,02-2127-4729
67,서울특별시 동대문구 한천로 137,127.0663236,37.57336225,정좌표,서울특별시 동대문구 한천로 137,,일반쓰레기,서울시 동대문구청,02-2127-4729
68,서울특별시 동대문구 한천로 205,127.0681084,37.57916221,정좌표,서울특별시 동대문구 한천로 205,,일반쓰레기,서울시 동대문구청,02-2127-4729
69,서울특별시 동대문구 한천로 272,127.0688377,37.58549684,정좌표,서울특별시 동대문구 한천로 272,,일반쓰레기,서울시 동대문구청,02-2127-4729
70,서울특별시 동대문구 06-417(버스정거장),129.2743568,35.77210558,인근좌표,서울특별시 동대문구 06-417(버스정거장),,일반쓰레기,서울시 동대문구청,02-2127-4729
71,서울특별시 동대문구 06-136(버스정거장),129.2743568,35.77210558,인근좌표,서울특별시 동대문구 06-136(버스정거장),,일반쓰레기,서울시 동대문구청,02-2127-4729
72,서울특별시 동대문구 영휘원사거리 버스정류장 ,129.0571699,35.58648813,인근좌표,서울특별시 동대문구 영휘원사거리 버스정류장 ,,일반쓰레기,서울시 동대문구청,02-2127-4729
73,서울특별시 동대문구 황물로 49,127.0470666,37.57308145,정좌표,서울특별시 동대문구 황물로 49,,일반쓰레기,서울시 동대문구청,02-2127-4729
74,서울특별시 동대문구 황물로 181-1,127.0577599,37.56467185,정좌표,서울특별시 동대문구 황물로 181-1,,일반쓰레기,서울시 동대문구청,02-2127-4729
75,서울특별시 동대문구 국방연구원 앞,129.2698458,35.75653301,인근좌표,서울특별시 동대문구 국방연구원 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
76,서울특별시 동대문구 세종대왕 기념관 앞,129.2698458,35.75653301,인근좌표,서울특별시 동대문구 세종대왕 기념관 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
77,서울특별시 동대문구 회기로 18길 3,127.0521142,37.59120093,정좌표,서울특별시 동대문구 회기로 18길 3,,일반쓰레기,서울시 동대문구청,02-2127-4729
78,서울특별시 동대문구 외대역 앞,129.2698458,35.75653301,인근좌표,서울특별시 동대문구 외대역 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
79,서울특별시 동대문구 외대 앞,129.2698458,35.75653301,인근좌표,서울특별시 동대문구 외대 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
80,서울특별시 동대문구 휘경SK아파트 앞,129.2698458,35.75653301,인근좌표,서울특별시 동대문구 휘경SK아파트 앞,,일반쓰레기,서울시 동대문구청,02-2127-4729
1,서울특별시 동작구 노량진로  24길2번지(ID:20-157),126.9527591,37.512375,정좌표,서울특별시 동작구 노량진로  24길2번지(ID:20-157),버스정류장 옆,일반쓰레기,서울시 동작구청,
2,서울특별시 동작구 노량진로  248번지(노들지구대 앞),126.9536302,37.51239138,정좌표,서울특별시 동작구 노량진로  248번지(노들지구대 앞),가로변,일반쓰레기,서울시 동작구청,
3,서울특별시 동작구 노량진로  노들역(ID:20-014),126.9546684,37.51243096,인근좌표,서울특별시 동작구 노량진로  노들역(ID:20-014),중앙차로,일반쓰레기,서울시 동작구청,
4,서울특별시 동작구 노량진로  224번지(노량진우체국),126.9506438,37.51247785,정좌표,서울특별시 동작구 노량진로  224번지(노량진우체국),가로변,일반쓰레기,서울시 동작구청,
5,서울특별시 동작구 노량진로  노들역(ID:20-013),126.9546684,37.51243096,인근좌표,서울특별시 동작구 노량진로  노들역(ID:20-013),중앙차로,재활용,서울시 동작구청,
6,서울특별시 동작구 노량진로  노들역(ID:20-013),126.9546684,37.51243096,인근좌표,서울특별시 동작구 노량진로  노들역(ID:20-013),중앙차로,일반쓰레기,서울시 동작구청,
7,서울특별시 동작구 매봉로 165번지(수학원),126.951613,37.51185357,정좌표,서울특별시 동작구 매봉로 165번지(수학원),가로변,재활용,서울시 동작구청,
8,서울특별시 동작구 매봉로 극동아파트 정류장(ID:20-745),126.9512464,37.51159447,인근좌표,서울특별시 동작구 매봉로 극동아파트 정류장(ID:20-745),마을버스 정류장 옆,재활용,서울시 동작구청,
9,서울특별시 동작구 매봉로 한신아파트(ID:20-869),126.9512464,37.51159447,인근좌표,서울특별시 동작구 매봉로 한신아파트(ID:20-869),마을버스 정류장 옆,재활용,서울시 동작구청,
10,서울특별시 동작구 노량진로  노량진역(ID:20-011),126.9546684,37.51243096,인근좌표,서울특별시 동작구 노량진로  노량진역(ID:20-011),버스중앙차로,재활용,서울시 동작구청,
11,서울특별시 동작구 장승배기로 동작구청앞 버스정류장(ID:20-944),126.9413804,37.50149107,인근좌표,서울특별시 동작구 장승배기로 동작구청앞 버스정류장(ID:20-944),가로변,일반쓰레기,서울시 동작구청,
12,서울특별시 동작구 장승배기로 동작구청앞 버스정류장(ID:20-944),126.9413804,37.50149107,인근좌표,서울특별시 동작구 장승배기로 동작구청앞 버스정류장(ID:20-944),가로변,재활용,서울시 동작구청,
13,서울특별시 동작구 노량진로  172번지(GS 주유소 앞),126.945015,37.51355335,정좌표,서울특별시 동작구 노량진로  172번지(GS 주유소 앞),가로변,재활용,서울시 동작구청,
14,서울특별시 동작구 매봉로 노량진역(ID:20-012),126.9512464,37.51159447,인근좌표,서울특별시 동작구 매봉로 노량진역(ID:20-012),버스 정류장 옆,재활용,서울시 동작구청,
15,서울특별시 동작구 노량진로  191(사육신묘앞),126.949411,37.51345792,정좌표,서울특별시 동작구 노량진로  191(사육신묘앞),가로변,일반쓰레기,서울시 동작구청,
16,서울특별시 동작구 노량진로  157-1 노량진역(ID:20-115),126.9434745,37.51395739,정좌표,서울특별시 동작구 노량진로  157-1 노량진역(ID:20-115),마을버스 정류장 옆,재활용,서울시 동작구청,
17,서울특별시 동작구 노량진로  16길 33번지,126.9441473,37.51201588,정좌표,서울특별시 동작구 노량진로  16길 33번지,가로변,일반쓰레기,서울시 동작구청,
18,서울특별시 동작구 노량진로  223번지,126.9507922,37.5129686,정좌표,서울특별시 동작구 노량진로  223번지,가로변,일반쓰레기,서울시 동작구청,
19,서울특별시 동작구 만양로  112번지(다이소 앞),126.9444127,37.51332301,정좌표,서울특별시 동작구 만양로  112번지(다이소 앞),가로변,일반쓰레기,서울시 동작구청,
20,서울특별시 동작구 만양로  노량진동 116-2(한성주창장앞),126.9439547,37.51288946,정좌표,서울특별시 동작구 만양로  노량진동 116-2(한성주창장앞),가로변,일반쓰레기,서울시 동작구청,
21,서울특별시 동작구 장승배기로 143-1번지,126.9399343,37.51043322,정좌표,서울특별시 동작구 장승배기로 143-1번지,가로변,일반쓰레기,서울시 동작구청,
22,서울특별시 동작구 장승배기로 143-1번지,126.9399343,37.51043322,정좌표,서울특별시 동작구 장승배기로 143-1번지,가로변,재활용,서울시 동작구청,
23,서울특별시 동작구 장승배기로 102(나이스가이 헤어숍),126.9399825,37.5067278,정좌표,서울특별시 동작구 장승배기로 102(나이스가이 헤어숍),가로변,일반쓰레기,서울시 동작구청,
24,서울특별시 동작구 장승배기로 102(나이스가이 헤어숍),126.9399825,37.5067278,정좌표,서울특별시 동작구 장승배기로 102(나이스가이 헤어숍),가로변,재활용,서울시 동작구청,
25,서울특별시 동작구 노량진로  노량진수산시장(ID:20-009),126.9546684,37.51243096,인근좌표,서울특별시 동작구 노량진로  노량진수산시장(ID:20-009),버스 중앙차로,재활용,서울시 동작구청,
26,서울특별시 동작구 장승배기로 11가길11(장승배기역5번출구 옆),126.9374178,37.50596298,정좌표,서울특별시 동작구 장승배기로 11가길11(장승배기역5번출구 옆),가로변,재활용,서울시 동작구청,
27,서울특별시 동작구 노량진로  124번지,126.9396224,37.51327893,정좌표,서울특별시 동작구 노량진로  124번지,가로변,일반쓰레기,서울시 동작구청,
28,서울특별시 동작구 노량진로  96번지(세븐일레븐 앞),126.9363268,37.51309875,정좌표,서울특별시 동작구 노량진로  96번지(세븐일레븐 앞),가로변,재활용,서울시 동작구청,
29,서울특별시 동작구 장승배기로 160(노량진초등학교 앞),126.9408372,37.51093774,정좌표,서울특별시 동작구 장승배기로 160(노량진초등학교 앞),가로변,일반쓰레기,서울시 동작구청,
30,서울특별시 동작구 노량진로  노량진수산시장(ID:20-010),126.9546684,37.51243096,인근좌표,서울특별시 동작구 노량진로  노량진수산시장(ID:20-010),버스 중앙차로,재활용,서울시 동작구청,
31,서울특별시 동작구 장승배기로 128번지(기업은행 앞),126.9405535,37.50886446,정좌표,서울특별시 동작구 장승배기로 128번지(기업은행 앞),가로변,재활용,서울시 동작구청,
32,서울특별시 동작구 장승배기로 128번지(기업은행 앞),126.9405535,37.50886446,정좌표,서울특별시 동작구 장승배기로 128번지(기업은행 앞),가로변,일반쓰레기,서울시 동작구청,
33,서울특별시 동작구 노량진로  노량진로 152-1(해박난치과),126.9428545,37.51345196,정좌표,서울특별시 동작구 노량진로  노량진로 152-1(해박난치과),가로변,일반쓰레기,서울시 동작구청,
34,서울특별시 동작구 노량진로  노량진로 152-1(해박난치과),126.9428545,37.51345196,정좌표,서울특별시 동작구 노량진로  노량진로 152-1(해박난치과),가로변,재활용,서울시 동작구청,
35,서울특별시 동작구 상도로 53길39번지(ID:20-244),126.9535649,37.50059351,정좌표,서울특별시 동작구 상도로 53길39번지(ID:20-244),마을버스 정류장 옆,일반쓰레기,서울시 동작구청,
36,서울특별시 동작구 상도로 53길39번지(ID:20-244),126.9535649,37.50059351,정좌표,서울특별시 동작구 상도로 53길39번지(ID:20-244),마을버스 정류장 옆,재활용,서울시 동작구청,
37,서울특별시 동작구 양녕로 268번지,126.948859,37.50350439,정좌표,서울특별시 동작구 양녕로 268번지,가로변,일반쓰레기,서울시 동작구청,
38,서울특별시 동작구 서달로 1길17 동양아파트(ID:20-917),126.9588967,37.50034765,정좌표,서울특별시 동작구 서달로 1길17 동양아파트(ID:20-917),가로변,일반쓰레기,서울시 동작구청,
39,서울특별시 동작구 상도로 357번지(ID:20-166),126.9535413,37.49694057,정좌표,서울특별시 동작구 상도로 357번지(ID:20-166),버스 정류장 옆,재활용,서울시 동작구청,
40,서울특별시 동작구 상도로 봉현초등학교(ID:20-167),126.9539606,37.49552227,인근좌표,서울특별시 동작구 상도로 봉현초등학교(ID:20-167),버스 정류장 옆,일반쓰레기,서울시 동작구청,
41,서울특별시 동작구 상도로 383-1 번지,126.9551891,37.49494049,정좌표,서울특별시 동작구 상도로 383-1 번지,가로변,일반쓰레기,서울시 동작구청,
42,서울특별시 동작구 신대방1가길 357번지(ID:20-165),126.9060992,37.48678099,인근좌표,서울특별시 동작구 신대방1가길 357번지(ID:20-165),가로변,일반쓰레기,서울시 동작구청,
43,서울특별시 동작구 상도로 364-1(ID:20-165),126.9534267,37.49607816,정좌표,서울특별시 동작구 상도로 364-1(ID:20-165),가로변,재활용,서울시 동작구청,
44,서울특별시 동작구 사당로 22번지(ID:20-169),126.9568961,37.49510609,정좌표,서울특별시 동작구 사당로 22번지(ID:20-169),버스 정류장 옆,일반쓰레기,서울시 동작구청,
45,서울특별시 동작구 상도로 352번지,126.9526182,37.49699605,정좌표,서울특별시 동작구 상도로 352번지,가로변,일반쓰레기,서울시 동작구청,
46,서울특별시 동작구 상도로 267(상도역3번출구 옆),126.9476826,37.50357326,정좌표,서울특별시 동작구 상도로 267(상도역3번출구 옆),가로변,재활용,서울시 동작구청,
47,서울특별시 동작구 상도로 267(상도역3번출구 옆),126.9476826,37.50357326,정좌표,서울특별시 동작구 상도로 267(상도역3번출구 옆),가로변,일반쓰레기,서울시 동작구청,
48,서울특별시 동작구 만양로  6번지(백두공인중개사),126.948478,37.50503041,정좌표,서울특별시 동작구 만양로  6번지(백두공인중개사),가로변,일반쓰레기,서울시 동작구청,
49,서울특별시 동작구 사당로 숭실대별관앞(ID:20-172),126.9671393,37.48777853,인근좌표,서울특별시 동작구 사당로 숭실대별관앞(ID:20-172),버스 정류장 옆,일반쓰레기,서울시 동작구청,
50,서울특별시 동작구 상도로 134번지,126.9347759,37.50202497,정좌표,서울특별시 동작구 상도로 134번지,가로변,일반쓰레기,서울시 동작구청,
51,서울특별시 동작구 양녕로 269-1번지,126.9487823,37.504037,정좌표,서울특별시 동작구 양녕로 269-1번지,가로변,일반쓰레기,서울시 동작구청,
